evaluation_scope,topology,p,gamma,missingness_mode,missing_rate_target,alpha_schedule,n_graph_cells,f1_halfwidth95,needs_more_seeds
global_whole_skeleton,er_expected_degree_2,20,1.0,complete,0.0,n_inverse_half,10,0.03008843451001715,False
global_whole_skeleton,er_expected_degree_2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.0376417389405403,False
global_whole_skeleton,er_expected_degree_2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.039101888053051856,False
global_whole_skeleton,er_expected_degree_2,20,1.25,complete,0.0,n_inverse_half,10,0.031878325974418545,False
global_whole_skeleton,er_expected_degree_2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.03855457107165097,False
global_whole_skeleton,er_expected_degree_2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,10,0.05157767272780825,True
global_whole_skeleton,er_expected_degree_2,50,1.0,complete,0.0,n_inverse_half,10,0.01030306386750065,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.011879121038354559,False
global_whole_skeleton,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.02093679893307617,False
global_whole_skeleton,er_expected_degree_2,50,1.25,complete,0.0,n_inverse_half,10,0.01030306386750065,False
global_whole_skeleton,er_expected_degree_2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.011879121038354559,False
global_whole_skeleton,er_expected_degree_2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,10,0.02093679893307617,False
global_whole_skeleton,er_expected_degree_2,75,1.0,complete,0.0,n_inverse_half,10,0.009226432953224659,False
global_whole_skeleton,er_expected_degree_2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,10,0.013374325557151593,False
global_whole_skeleton,er_expected_degree_2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,10,0.01345568738874083,False
