topology,p,seed,d_alg,depth_ok,oracle_edge_query_count,oracle_edge_partial_corr_min,oracle_edge_partial_corr_q10,oracle_edge_partial_corr_median,oracle_edge_partial_corr_below_001,oracle_edge_partial_corr_below_005,oracle_edge_partial_corr_below_010,oracle_edge_margin_finite,selected_edge_query_count,selected_edge_partial_corr_min,selected_edge_partial_corr_q10,selected_edge_partial_corr_median,selected_edge_partial_corr_max,selected_edge_partial_corr_below_001,selected_edge_partial_corr_below_005,selected_edge_partial_corr_below_010,selected_edge_query_retention_min,selected_edge_query_retention_q10,selected_edge_query_retention_median,selected_edge_query_retention_max,selected_edge_diagnostics_finite
small_world_k2,20,8,3,True,87.0,0.2703438331795672,0.3527770342890605,0.5318445861741712,0.0,0.0,0.0,True,87.0,0.23064062356526363,0.31236819709332586,0.48512024050500596,0.8132537850649139,0.0,0.0,0.0,0.17509269359749632,0.24543052950717442,0.34635199303631004,0.49507092459648816,True
small_world_k2,20,9,3,True,70.0,0.3451375940495875,0.43833717661776384,0.5647227168184925,0.0,0.0,0.0,True,70.0,0.3039547382538142,0.3917456636215515,0.5118609490373343,0.7631706088832576,0.0,0.0,0.0,0.24389998094549173,0.34570384913961555,0.34710753291818297,0.49417054214628325,True
small_world_k2,50,0,3,True,150.0,0.32335739217827864,0.40016648518292924,0.5282939882322101,0.0,0.0,0.0,True,150.0,0.28488844864123214,0.3500569286111694,0.4692238128159303,0.7289736315242686,0.0,0.0,0.0,0.3449161362988522,0.34522072747293986,0.3465230426912701,0.4933402613639034,True
small_world_k2,50,1,3,True,165.0,0.3014471026051192,0.3879803979026577,0.5163341774774024,0.0,0.0,0.0,True,165.0,0.2632266409689073,0.33534145167552076,0.4562349618818881,0.7806790293067187,0.0,0.0,0.0,0.2421777281871381,0.344975404638961,0.34625734252884155,0.49413334344098236,True
small_world_k2,50,2,3,True,165.0,0.21927935850638197,0.3897283461754413,0.5446919363124146,0.0,0.0,0.0,True,165.0,0.1910362412368501,0.3478054581719822,0.48777978795047394,0.7570627030934736,0.0,0.0,0.0,0.24268410504339716,0.3452917493535111,0.3466298632751692,0.4936276602134676,True
small_world_k2,50,3,3,True,192.0,0.26938251440050615,0.3830390027037195,0.5172617849055314,0.0,0.0,0.0,True,192.0,0.2354607796961887,0.3366596743669206,0.464211294260642,0.7409372432131888,0.0,0.0,0.0,0.17322499468481525,0.24529986554026922,0.34619747329763617,0.4943629549234099,True
small_world_k2,50,4,3,True,170.0,0.2539918403934135,0.40016206089788814,0.5439298485083017,0.0,0.0,0.0,True,170.0,0.2254839081598785,0.35322977395483596,0.4878815266054035,0.7346912111224579,0.0,0.0,0.0,0.24358528913603106,0.3451461922142223,0.34716593428025894,0.4939756845227352,True
small_world_k2,50,5,3,True,167.0,0.19574303370022764,0.39312082792488917,0.5624339495943144,0.0,0.0,0.0,True,167.0,0.16416755053932297,0.34556629596118255,0.5040537224436641,0.744955706534182,0.0,0.0,0.0,0.2423035249165528,0.34472140453225114,0.3471406508246533,0.49346508853763194,True
small_world_k2,50,6,3,True,175.0,0.2964317802729114,0.37967126689819614,0.517321958945268,0.0,0.0,0.0,True,175.0,0.26335899275041585,0.3283332114899315,0.458722067506803,0.7163904333165549,0.0,0.0,0.0,0.24233837484169907,0.3447593204782782,0.3464318235204838,0.4938714353520871,True
small_world_k2,50,7,3,True,180.0,0.2324197217710669,0.3743285583336206,0.5440953853248669,0.0,0.0,0.0,True,180.0,0.20233055507873762,0.3302652199865043,0.49106541392961,0.8087358460641128,0.0,0.0,0.0,0.24238632561730636,0.33477119284617396,0.3469936736167697,0.49457398107308004,True
small_world_k2,50,8,3,True,185.0,0.2736482671645254,0.38865941100966706,0.5235974797273372,0.0,0.0,0.0,True,185.0,0.2390818035461562,0.34058744650848005,0.4665064780330973,0.707162687780111,0.0,0.0,0.0,0.24216607502247414,0.24398798699944618,0.34609303974718825,0.4939562302620324,True
small_world_k2,50,9,3,True,175.0,0.309308784218554,0.4072793861549132,0.5469571481322516,0.0,0.0,0.0,True,175.0,0.2699763351732665,0.35054220362710115,0.4893499750036201,0.7472469022535985,0.0,0.0,0.0,0.24208370180172376,0.34479679169579475,0.3464789800454172,0.49442397459877846,True
small_world_k2,75,0,3,True,255.0,0.2671873927282041,0.4043805054058044,0.5182676740752473,0.0,0.0,0.0,True,255.0,0.23477975018998676,0.3586876234906885,0.46399113419974125,0.7374983487863841,0.0,0.0,0.0,0.2421247374998265,0.344803484747563,0.3462525099073501,0.4934891427837325,True
small_world_k2,75,1,3,True,245.0,0.28656428981888393,0.3974776403556824,0.5247541650831834,0.0,0.0,0.0,True,245.0,0.24577626834405053,0.35030736886528263,0.47010622673816943,0.7575879755765493,0.0,0.0,0.0,0.24251263165139936,0.34511624565098925,0.346588875017046,0.49386400433868066,True
small_world_k2,75,2,3,True,230.0,0.21688997100920349,0.37236577135224735,0.5488661680787461,0.0,0.0,0.0,True,230.0,0.1889177846957671,0.32897597554900815,0.4954036545816838,0.7800575317981779,0.0,0.0,0.0,0.242500513147967,0.34527562865530453,0.3470825166297959,0.49438697601584436,True
small_world_k2,75,3,3,True,260.0,0.30369349521694555,0.40429386648760635,0.5308492216266485,0.0,0.0,0.0,True,260.0,0.2624395298118681,0.34917614046620143,0.46903277511611563,0.7886934648007787,0.0,0.0,0.0,0.24218844572896098,0.34477587550523237,0.3462323663634943,0.494407220232708,True
small_world_k2,75,4,3,True,250.0,0.23371810218010053,0.39672294234192235,0.5314786174820296,0.0,0.0,0.0,True,250.0,0.20535733356192298,0.3477232632986291,0.474971057861956,0.7779941142112349,0.0,0.0,0.0,0.2422026583368329,0.3448993288706035,0.34657388447469695,0.4938028936710901,True
small_world_k2,75,5,3,True,265.0,0.03981258714231134,0.40360361452121746,0.5469722744928391,0.0,1.0,1.0,True,265.0,0.03318592279935899,0.3565826099806028,0.48855098364830407,0.7793933972037428,0.0,1.0,1.0,0.24259783043506017,0.34509328407247186,0.3466765966829327,0.49473722365273815,True
small_world_k2,75,6,3,True,255.0,0.3115061135229162,0.3902139038561011,0.5322661550370399,0.0,0.0,0.0,True,255.0,0.27154261400662594,0.33643506269694123,0.47359166993956336,0.7677937237313954,0.0,0.0,0.0,0.2424055267959072,0.34489270445636433,0.346289847557882,0.49382744498772047,True
small_world_k2,75,7,3,True,275.0,0.25524018038144725,0.39096933239231096,0.5406085847844645,0.0,0.0,0.0,True,275.0,0.2288946898157062,0.33927096994806516,0.4857988409138757,0.8156729702554023,0.0,0.0,0.0,0.24285371210085185,0.24552668789721974,0.34676505129254387,0.49467896501536196,True
small_world_k2,75,8,3,True,272.0,0.014039989635986775,0.38551956448932556,0.5329169321607614,0.0,2.0,2.0,True,272.0,0.01279822250285158,0.3366486296438979,0.4743967813954289,0.7693132694960022,0.0,2.0,2.0,0.2422573882088727,0.24526273937055806,0.34630544405805286,0.49395668180499763,True
small_world_k2,75,9,3,True,294.0,0.2568114461802734,0.3855036596658472,0.535325464515856,0.0,0.0,0.0,True,294.0,0.22332306240019195,0.33703906053589616,0.47845186281757246,0.8171898353756557,0.0,0.0,0.0,0.1714800473546342,0.24409800174563684,0.34607512835756116,0.4941081195356647,True
small_world_k2,100,0,3,True,340.0,0.2735523325880529,0.407820192204204,0.5368807630320884,0.0,0.0,0.0,True,340.0,0.2416466789524158,0.35515964432516317,0.4807977129318094,0.7810453076612985,0.0,0.0,0.0,0.24252016563723772,0.3449244578395586,0.3467660426989111,0.4941579305791483,True
small_world_k2,100,1,3,True,335.0,0.28478623325045777,0.40357093459626464,0.5410543190974628,0.0,0.0,0.0,True,335.0,0.2469539659823736,0.3553220728055933,0.48051239660180683,0.8131695829382174,0.0,0.0,0.0,0.24289449664188656,0.3451337735139597,0.3468419518835352,0.49435806040378577,True
small_world_k2,100,2,3,True,315.0,0.24454501562904904,0.4085395009977888,0.5386327669923971,0.0,0.0,0.0,True,315.0,0.2126835580966967,0.35806107771264073,0.47710615260797856,0.7503296272544782,0.0,0.0,0.0,0.2420669477182968,0.3451558228609283,0.3466617051675322,0.4938811255563286,True
small_world_k2,100,3,3,True,362.0,0.28693444702639725,0.38657977274639493,0.5336943281601477,0.0,0.0,0.0,True,362.0,0.2513163308009242,0.33913642755468315,0.47769399751031183,0.7559423527922425,0.0,0.0,0.0,0.17068730541153473,0.24520010496194702,0.34648990720576034,0.49423108390680337,True
small_world_k2,100,4,3,True,335.0,0.20607445419538625,0.3892084645122838,0.5395407538940938,0.0,0.0,0.0,True,335.0,0.1790880089884781,0.34162443237899454,0.48274662717515493,0.8311374300010816,0.0,0.0,0.0,0.24272269515902342,0.3450981467960499,0.3467155045360782,0.4948731368583923,True
small_world_k2,100,5,3,True,352.0,0.29669203945571915,0.40054096674064293,0.5415525102288037,0.0,0.0,0.0,True,352.0,0.2629541543073479,0.3504114264099099,0.48285466840936114,0.7885968464671943,0.0,0.0,0.0,0.24256509653204225,0.34475032813106293,0.34651306459238934,0.49419578959671473,True
small_world_k2,100,6,3,True,340.0,0.23027844288763052,0.3824745299960612,0.5261006396220804,0.0,0.0,0.0,True,340.0,0.19897619794135032,0.33924409236722936,0.46916374558891705,0.8159874194726927,0.0,0.0,0.0,0.2426533081426488,0.3449276958660715,0.3465600220886806,0.49441313353213917,True
small_world_k2,100,7,3,True,382.0,0.23150056197815094,0.3802091130046861,0.5467847211007497,0.0,0.0,0.0,True,382.0,0.19777393651817324,0.3366534525992324,0.49347981364753746,0.7720570258881895,0.0,0.0,0.0,0.17351533570693645,0.24544954346482395,0.3464507114630419,0.49439129309768254,True
small_world_k2,100,8,3,True,364.0,0.18836961447682044,0.3786191271693723,0.5259290924362118,0.0,0.0,0.0,True,364.0,0.1735213669164917,0.3362340432812151,0.46942877418627316,0.7913015203988458,0.0,0.0,0.0,0.17095547644548492,0.24520606190734626,0.34630166615084373,0.4942000304865298,True
small_world_k2,100,9,3,True,401.0,0.2632746480547217,0.3708664270219301,0.5276618160089083,0.0,0.0,0.0,True,401.0,0.23131712099390525,0.3272698198096994,0.4683750292593837,0.7975360531872475,0.0,0.0,0.0,0.17098376638504503,0.24341055090543964,0.34634080300568837,0.4947238294112361,True
