topology,seed,depth_ok,oracle_pc_query_count,oracle_pc_dependent_query_count,oracle_pc_independent_query_count,oracle_pc_dependent_partial_corr_min,oracle_pc_dependent_partial_corr_q05,oracle_pc_dependent_partial_corr_q10,oracle_pc_dependent_partial_corr_median,oracle_pc_dependent_below_001,oracle_pc_dependent_below_005,oracle_pc_dependent_below_010,oracle_pc_null_partial_corr_max_abs,oracle_pc_null_numeric_check,oracle_pc_exact_skeleton,oracle_pc_false_positive_edges,oracle_pc_false_negative_edges,selected_oracle_pc_dependent_partial_corr_min,selected_oracle_pc_dependent_partial_corr_q05,selected_oracle_pc_dependent_partial_corr_q10,selected_oracle_pc_dependent_partial_corr_median,selected_oracle_pc_null_partial_corr_max_abs,selected_oracle_pc_null_numeric_check,selected_oracle_pc_query_retention_min,selected_oracle_pc_query_retention_q10,selected_oracle_pc_query_retention_median,selected_oracle_pc_query_retention_max
er_expected_degree_2,0,True,1273.0,1102.0,171.0,0.0045830392284548676,0.06261059294163324,0.1366152197309066,0.40907068925343737,5.0,36.0,87.0,1.4314854202411855e-15,True,True,0.0,0.0,0.0038899181410629717,0.054226430093796296,0.12108846827748994,0.3594664968640386,1.34125534619144e-15,True,0.17091965475664336,0.24166473677904232,0.3435021975771976,0.4939459186128804
er_expected_degree_2,1,True,1357.0,1190.0,167.0,0.0008054533599411317,0.07000308472461388,0.10942352878442554,0.3371518486614334,6.0,42.0,100.0,9.529250273718412e-17,True,True,0.0,0.0,0.0006795368201615689,0.060395069809772474,0.0920022564923959,0.29166260195382265,8.463936050569574e-17,True,0.17002713117107113,0.2410992146068022,0.34322919613667685,0.49357291821032917
er_expected_degree_2,2,True,987.0,819.0,168.0,0.015614482926093555,0.07938118834929134,0.11966030986191348,0.3854032745603461,0.0,15.0,65.0,4.013595690650473e-16,True,True,0.0,0.0,0.013349727986367027,0.06835719689278155,0.10091391582177346,0.3417153507249447,3.744276859075937e-16,True,0.16984591924952533,0.24152163178652203,0.34391217396279666,0.49343249270923295
er_expected_degree_2,3,True,545.0,375.0,170.0,0.025206235784931245,0.09799801590793152,0.19423919168273082,0.42642264330319557,0.0,5.0,19.0,2.0056943679203074e-16,True,True,0.0,0.0,0.021385018486282777,0.08205587810244229,0.16504193515736676,0.3732701686064574,1.8180473638482417e-16,True,0.1697604077830734,0.24319234352865504,0.3452233417659352,0.4943667335470751
er_expected_degree_2,4,False,,,,,,,,,,,,,,,,,,,,,,,,,
er_expected_degree_2,5,True,768.0,596.0,172.0,0.018335040668518456,0.06571836899143335,0.20688661236425154,0.4663582263243806,0.0,22.0,37.0,4.849300278519384e-16,True,True,0.0,0.0,0.015280056682672138,0.055314098633051374,0.17885189202461074,0.41640282200510115,4.558028452560299e-16,True,0.1740777421110625,0.24463308772448336,0.34564496341950207,0.49403713781042735
er_expected_degree_2,6,True,725.0,556.0,169.0,0.001105424397272404,0.12838017287223827,0.16494587819952122,0.4403220748342468,1.0,4.0,12.0,2.5018502018539265e-16,True,True,0.0,0.0,0.0009764006563381396,0.11133345583766041,0.1409818746061231,0.3878678590087793,2.257729640190434e-16,True,0.17058867355983706,0.24242899985771643,0.34486201478856976,0.4938827581811906
er_expected_degree_2,7,True,2568.0,2406.0,162.0,0.00038865058926466407,0.07026926853561612,0.12398381185061283,0.36779945276371284,16.0,75.0,188.0,8.938583321314554e-16,True,True,0.0,0.0,0.0003467169915286541,0.06205896088939941,0.10756930181780408,0.3251576329411625,8.124189761436601e-16,True,0.16964918389297892,0.24131889712300644,0.3432202851798071,0.49480442307758554
er_expected_degree_2,8,True,408.0,237.0,171.0,0.02929540477922046,0.09628247304812834,0.15917613431977506,0.43554308754105997,0.0,2.0,16.0,1.0888899022170302e-16,True,True,0.0,0.0,0.02524616524814279,0.08050885838911002,0.1334079819293804,0.3777501982242035,9.714991799112143e-17,True,0.17065854694750313,0.3432029558398658,0.347227316639453,0.49385856976669495
er_expected_degree_2,9,False,,,,,,,,,,,,,,,,,,,,,,,,,
random_regular_d2,0,True,355.0,185.0,170.0,0.09687033273082,0.13627939572652625,0.20965920856135611,0.45371559707391046,0.0,0.0,1.0,1.2916357418868896e-16,True,True,0.0,0.0,0.08085172750933958,0.11627114792992072,0.17649909057983568,0.3945998105002857,1.1659158285409035e-16,True,0.34310119260082733,0.34410509866131544,0.4899999999999998,0.49361015390859503
random_regular_d2,1,True,425.0,255.0,170.0,0.012545769633254074,0.07554861321000503,0.10356313329839463,0.41712489579759326,0.0,5.0,21.0,2.287713820132253e-16,True,True,0.0,0.0,0.010455082292985439,0.06338414885878864,0.08819287162869843,0.3579852449469828,2.1111155575654917e-16,True,0.241592970239141,0.3438462767844663,0.3465687062300499,0.4945145987026675
random_regular_d2,2,True,280.0,110.0,170.0,0.15691157472288791,0.1902338212987329,0.231640536799969,0.45986182859063685,0.0,0.0,0.0,5.750247266302531e-17,True,True,0.0,0.0,0.1312984340283167,0.1607427487286667,0.19514338543594867,0.40636282526144807,5.051253504588031e-17,True,0.34337520166183183,0.3446404649418589,0.4899999999999998,0.49294975243315775
random_regular_d2,3,True,342.0,172.0,170.0,0.04234369690749127,0.1103413805761182,0.1531970196590003,0.4698425629670344,0.0,1.0,7.0,1.398965187450601e-16,True,True,0.0,0.0,0.038803620825513946,0.0937830889455933,0.13124409073022056,0.41023246480908737,1.2710651125965516e-16,True,0.24430591494593995,0.34421183024774343,0.4899999999999998,0.4939467987478407
random_regular_d2,4,True,396.0,226.0,170.0,0.05296516814410756,0.1513829676916064,0.19623407713943458,0.4757910315655956,0.0,0.0,1.0,1.439498539066985e-16,True,True,0.0,0.0,0.04415828639339917,0.12822395599529635,0.16526303033317263,0.4188878955110637,1.2960394062475603e-16,True,0.3431171979424773,0.34418226141419944,0.34914156749911857,0.49440004539456517
random_regular_d2,5,True,340.0,170.0,170.0,0.0955783937600554,0.2002640865893395,0.23201018649591568,0.5019852792989883,0.0,0.0,1.0,1.329567859841825e-16,True,True,0.0,0.0,0.08223092723293216,0.17222310292327636,0.19791417033842137,0.4439943372693145,1.187585591445583e-16,True,0.24316905367315322,0.3447552937366135,0.4899999999999998,0.4940314345371682
random_regular_d2,6,True,300.0,130.0,170.0,0.08577619047349276,0.20038648947002052,0.2291886685858629,0.4691253667780183,0.0,0.0,1.0,1.6806237235993783e-16,True,True,0.0,0.0,0.07156791954352652,0.16850222774092413,0.20001124824372785,0.41477282284553063,1.5265353685313377e-16,True,0.2440394985012626,0.3446259132442581,0.4899999999999998,0.49311491372841487
random_regular_d2,7,True,320.0,150.0,170.0,0.13639635865147326,0.18826843302945576,0.2149826519163174,0.4424549823296502,0.0,0.0,0.0,1.9539035822815975e-16,True,True,0.0,0.0,0.11401716078575629,0.15793036082610248,0.18128023828953863,0.3859588126327243,1.7480767658824036e-16,True,0.343199331679489,0.3444278111739433,0.4899999999999998,0.4931410730026619
random_regular_d2,8,True,377.0,207.0,170.0,0.0409213337042885,0.09787807273287327,0.1173181147188419,0.42360743599396916,0.0,2.0,13.0,2.8918134786371734e-16,True,True,0.0,0.0,0.034110631444785884,0.08175566535137377,0.09835463737013332,0.36501621418567953,2.5837934967430136e-16,True,0.34311814195069096,0.34401383219723836,0.4899999999999998,0.49345220541649204
random_regular_d2,9,True,332.0,162.0,170.0,0.08363755218559743,0.16773689033593628,0.1986164308532207,0.5013633707245403,0.0,0.0,1.0,8.665257368458162e-17,True,True,0.0,0.0,0.06977931399764968,0.14043951770100668,0.16868169427992674,0.4475196763081072,7.77382718685031e-17,True,0.24377873602895328,0.3446048708393137,0.4899999999999998,0.4936276220976218
scale_free_m2,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,1,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,2,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,3,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,4,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,5,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,6,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,7,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
scale_free_m2,9,False,,,,,,,,,,,,,,,,,,,,,,,,,
small_world_k2,0,True,314.0,144.0,170.0,0.10162477904365741,0.17613328495338504,0.22305978978772117,0.4563968625200432,0.0,0.0,0.0,6.620499135092456e-17,True,True,0.0,0.0,0.08483333660365686,0.1496829908096963,0.18806927820150401,0.40281892541861425,5.909557503823335e-17,True,0.3431940108208695,0.3444948722548663,0.4899999999999998,0.4932525367366352
