evaluation_scope,topology,p,gamma,missingness_mode,missing_rate_target,alpha_schedule,n_graph_cells,f1_halfwidth95,needs_more_seeds
global_whole_skeleton,random_regular_d2,100,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.001038607292653341,False
global_whole_skeleton,random_regular_d2,100,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0009603843137875643,False
global_whole_skeleton,random_regular_d2,150,1.0,complete,0.0,n_inverse_half,20,0.003430847397778658,False
global_whole_skeleton,random_regular_d2,150,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0009150703364304062,False
global_whole_skeleton,random_regular_d2,150,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0008153034214314085,False
global_whole_skeleton,random_regular_d2,150,1.25,complete,0.0,n_inverse_half,20,0.00207075060072275,False
global_whole_skeleton,random_regular_d2,150,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
global_whole_skeleton,random_regular_d2,150,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.00047857739147922636,False
global_whole_skeleton,scale_free_m2,20,1.0,complete,0.0,n_inverse_half,20,0.022796309930408473,False
global_whole_skeleton,scale_free_m2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.028204485110942142,False
global_whole_skeleton,scale_free_m2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.021894949628546434,False
global_whole_skeleton,scale_free_m2,20,1.25,complete,0.0,n_inverse_half,20,0.0227234438577278,False
global_whole_skeleton,scale_free_m2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.027550011428258858,False
global_whole_skeleton,scale_free_m2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.024438337453812537,False
global_whole_skeleton,scale_free_m2,50,1.0,complete,0.0,n_inverse_half,20,0.016196757189205012,False
global_whole_skeleton,scale_free_m2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.01929637634934017,False
global_whole_skeleton,scale_free_m2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.021373546909015488,False
global_whole_skeleton,scale_free_m2,50,1.25,complete,0.0,n_inverse_half,20,0.016196757189205012,False
global_whole_skeleton,scale_free_m2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.01929637634934017,False
global_whole_skeleton,scale_free_m2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.021373546909015485,False
global_whole_skeleton,scale_free_m2,75,1.0,complete,0.0,n_inverse_half,20,0.01629801596496172,False
global_whole_skeleton,scale_free_m2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.017652422628677226,False
global_whole_skeleton,scale_free_m2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.017055202851710874,False
global_whole_skeleton,scale_free_m2,75,1.25,complete,0.0,n_inverse_half,20,0.015009483148470858,False
global_whole_skeleton,scale_free_m2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.017748852974272134,False
global_whole_skeleton,scale_free_m2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.016567298843903445,False
global_whole_skeleton,small_world_k2,20,1.0,complete,0.0,n_inverse_half,20,0.008538870148301805,False
global_whole_skeleton,small_world_k2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0036936357650063,False
global_whole_skeleton,small_world_k2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0036936357650063,False
global_whole_skeleton,small_world_k2,20,1.25,complete,0.0,n_inverse_half,20,0.007774014185908555,False
global_whole_skeleton,small_world_k2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.00432621111304032,False
global_whole_skeleton,small_world_k2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.004866178627312162,False
global_whole_skeleton,small_world_k2,50,1.0,complete,0.0,n_inverse_half,20,0.004090584881192956,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0014407420491093887,False
global_whole_skeleton,small_world_k2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0017205359059696106,False
global_whole_skeleton,small_world_k2,50,1.25,complete,0.0,n_inverse_half,20,0.004090584881192957,False
global_whole_skeleton,small_world_k2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0014407420491093887,False
global_whole_skeleton,small_world_k2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0017205359059696106,False
global_whole_skeleton,small_world_k2,75,1.0,complete,0.0,n_inverse_half,20,0.004208862358404768,False
global_whole_skeleton,small_world_k2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0015255165514174837,False
global_whole_skeleton,small_world_k2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0020497634184261085,False
global_whole_skeleton,small_world_k2,75,1.25,complete,0.0,n_inverse_half,20,0.004228377354861656,False
global_whole_skeleton,small_world_k2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0015891414581457627,False
global_whole_skeleton,small_world_k2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0012848122899901662,False
global_whole_skeleton,small_world_k2,100,1.0,complete,0.0,n_inverse_half,20,0.003699956631080708,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0005206527498528107,False
global_whole_skeleton,small_world_k2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0009555674615936692,False
global_whole_skeleton,small_world_k2,100,1.25,complete,0.0,n_inverse_half,20,0.0037104706922797995,False
global_whole_skeleton,small_world_k2,100,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0005206527498528107,False
global_whole_skeleton,small_world_k2,100,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0009555674615936687,False
target_restriction_of_global,er_expected_degree_2,20,1.0,complete,0.0,n_inverse_half,20,0.015617976140602714,False
target_restriction_of_global,er_expected_degree_2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.02120771813130776,False
target_restriction_of_global,er_expected_degree_2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.022980502438643153,False
target_restriction_of_global,er_expected_degree_2,20,1.25,complete,0.0,n_inverse_half,20,0.015843144203145153,False
target_restriction_of_global,er_expected_degree_2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.020409481680439698,False
target_restriction_of_global,er_expected_degree_2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.021734233712493688,False
target_restriction_of_global,er_expected_degree_2,50,1.0,complete,0.0,n_inverse_half,20,0.017028862752000995,False
target_restriction_of_global,er_expected_degree_2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.01303406377996753,False
target_restriction_of_global,er_expected_degree_2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0151365359271917,False
target_restriction_of_global,er_expected_degree_2,50,1.25,complete,0.0,n_inverse_half,20,0.01702886275200099,False
target_restriction_of_global,er_expected_degree_2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.01303406377996753,False
target_restriction_of_global,er_expected_degree_2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0151365359271917,False
target_restriction_of_global,er_expected_degree_2,75,1.0,complete,0.0,n_inverse_half,20,0.010749378232360319,False
target_restriction_of_global,er_expected_degree_2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.009200484418749929,False
target_restriction_of_global,er_expected_degree_2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.007190384884829715,False
target_restriction_of_global,er_expected_degree_2,75,1.25,complete,0.0,n_inverse_half,20,0.012440530675194187,False
target_restriction_of_global,er_expected_degree_2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.008573697198538625,False
target_restriction_of_global,er_expected_degree_2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.009390646577299551,False
target_restriction_of_global,er_expected_degree_2,100,1.0,complete,0.0,n_inverse_half,20,0.011553482352385782,False
target_restriction_of_global,er_expected_degree_2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.004765159011449248,False
target_restriction_of_global,er_expected_degree_2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.003865835584336517,False
target_restriction_of_global,er_expected_degree_2,100,1.25,complete,0.0,n_inverse_half,20,0.014361184349734001,False
target_restriction_of_global,er_expected_degree_2,100,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.003452952690410527,False
target_restriction_of_global,er_expected_degree_2,100,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.004146973708627924,False
target_restriction_of_global,er_expected_degree_2,150,1.0,complete,0.0,n_inverse_half,20,0.012401083373711437,False
target_restriction_of_global,er_expected_degree_2,150,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.004862431800832296,False
target_restriction_of_global,er_expected_degree_2,150,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.009623610003100493,False
target_restriction_of_global,er_expected_degree_2,150,1.25,complete,0.0,n_inverse_half,20,0.012782990418723168,False
target_restriction_of_global,er_expected_degree_2,150,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.006144331353838532,False
target_restriction_of_global,er_expected_degree_2,150,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.00809797851717061,False
target_restriction_of_global,random_regular_d2,20,1.0,complete,0.0,n_inverse_half,20,0.008292155164740456,False
target_restriction_of_global,random_regular_d2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.008582130000968979,False
target_restriction_of_global,random_regular_d2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.008582130000968979,False
target_restriction_of_global,random_regular_d2,20,1.25,complete,0.0,n_inverse_half,20,0.008830768268240129,False
target_restriction_of_global,random_regular_d2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.00861341640453155,False
target_restriction_of_global,random_regular_d2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.010687961987718746,False
target_restriction_of_global,random_regular_d2,50,1.0,complete,0.0,n_inverse_half,20,0.0051492780005813745,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0034883734240138582,False
target_restriction_of_global,random_regular_d2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.003972523915610308,False
target_restriction_of_global,random_regular_d2,50,1.25,complete,0.0,n_inverse_half,20,0.0051492780005813745,False
target_restriction_of_global,random_regular_d2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0034883734240138582,False
target_restriction_of_global,random_regular_d2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.003972523915610308,False
target_restriction_of_global,random_regular_d2,75,1.0,complete,0.0,n_inverse_half,20,0.00756684657115196,False
target_restriction_of_global,random_regular_d2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.004801726494508223,False
target_restriction_of_global,random_regular_d2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.005318151450998384,False
target_restriction_of_global,random_regular_d2,75,1.25,complete,0.0,n_inverse_half,20,0.006750938294178278,False
target_restriction_of_global,random_regular_d2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.004801726494508223,False
target_restriction_of_global,random_regular_d2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0054958271715694765,False
target_restriction_of_global,random_regular_d2,100,1.0,complete,0.0,n_inverse_half,20,0.004400855025511742,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.002093024054408299,False
target_restriction_of_global,random_regular_d2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.002881035896704911,False
target_restriction_of_global,random_regular_d2,100,1.25,complete,0.0,n_inverse_half,20,0.005661152045830085,False
target_restriction_of_global,random_regular_d2,100,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,random_regular_d2,100,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.002881035896704911,False
target_restriction_of_global,random_regular_d2,150,1.0,complete,0.0,n_inverse_half,20,0.005346976331235896,False
target_restriction_of_global,random_regular_d2,150,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,random_regular_d2,150,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,random_regular_d2,150,1.25,complete,0.0,n_inverse_half,20,0.005346976331235896,False
target_restriction_of_global,random_regular_d2,150,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,random_regular_d2,150,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,scale_free_m2,20,1.0,complete,0.0,n_inverse_half,20,0.02691137066966791,False
target_restriction_of_global,scale_free_m2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0357746286860513,False
target_restriction_of_global,scale_free_m2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.034876412450247224,False
target_restriction_of_global,scale_free_m2,20,1.25,complete,0.0,n_inverse_half,20,0.028534469776070822,False
target_restriction_of_global,scale_free_m2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.04051276347356306,False
target_restriction_of_global,scale_free_m2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.039412663990563174,False
target_restriction_of_global,scale_free_m2,50,1.0,complete,0.0,n_inverse_half,20,0.018168410183906396,False
target_restriction_of_global,scale_free_m2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.02749064984549136,False
target_restriction_of_global,scale_free_m2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.026917956741123242,False
target_restriction_of_global,scale_free_m2,50,1.25,complete,0.0,n_inverse_half,20,0.018168410183906396,False
target_restriction_of_global,scale_free_m2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.027490649845491363,False
target_restriction_of_global,scale_free_m2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.026917956741123242,False
target_restriction_of_global,scale_free_m2,75,1.0,complete,0.0,n_inverse_half,20,0.019226513560424943,False
target_restriction_of_global,scale_free_m2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.03411599527457145,False
target_restriction_of_global,scale_free_m2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.03466246340733234,False
target_restriction_of_global,scale_free_m2,75,1.25,complete,0.0,n_inverse_half,20,0.017386348670662792,False
target_restriction_of_global,scale_free_m2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.033652112526956206,False
target_restriction_of_global,scale_free_m2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.03396058184787599,False
target_restriction_of_global,small_world_k2,20,1.0,complete,0.0,n_inverse_half,20,0.010457723755340305,False
target_restriction_of_global,small_world_k2,20,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.005302546498422539,False
target_restriction_of_global,small_world_k2,20,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.005302546498422539,False
target_restriction_of_global,small_world_k2,20,1.25,complete,0.0,n_inverse_half,20,0.008957241968246227,False
target_restriction_of_global,small_world_k2,20,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.007423711586037072,False
target_restriction_of_global,small_world_k2,20,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.007530172340693873,False
target_restriction_of_global,small_world_k2,50,1.0,complete,0.0,n_inverse_half,20,0.004896819418886561,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0034883734240138582,False
target_restriction_of_global,small_world_k2,50,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.005930686636904369,False
target_restriction_of_global,small_world_k2,50,1.25,complete,0.0,n_inverse_half,20,0.004896819418886561,False
target_restriction_of_global,small_world_k2,50,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0034883734240138582,False
target_restriction_of_global,small_world_k2,50,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.005930686636904369,False
target_restriction_of_global,small_world_k2,75,1.0,complete,0.0,n_inverse_half,20,0.004467590259056218,False
target_restriction_of_global,small_world_k2,75,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,small_world_k2,75,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.002881035896704911,False
target_restriction_of_global,small_world_k2,75,1.25,complete,0.0,n_inverse_half,20,0.007835984017751754,False
target_restriction_of_global,small_world_k2,75,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,small_world_k2,75,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,small_world_k2,100,1.0,complete,0.0,n_inverse_half,20,0.0075005365595050295,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,small_world_k2,100,1.0,self_masking_logistic_population,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,small_world_k2,100,1.25,complete,0.0,n_inverse_half,20,0.007086049797783565,False
target_restriction_of_global,small_world_k2,100,1.25,self_masking_gaussian_preserving,0.3,n_inverse_half,20,0.0,False
target_restriction_of_global,small_world_k2,100,1.25,self_masking_logistic_population,0.3,n_inverse_half,20,0.0020930240544082992,False
