evaluation_scope,topology,p,missingness_mode,missing_rate_target,alpha_schedule,contrast,left,right,paired_seeds,precision_delta_mean,precision_delta_lo95,precision_delta_hi95,precision_delta_halfwidth95,precision_paired_n,recall_delta_mean,recall_delta_lo95,recall_delta_hi95,recall_delta_halfwidth95,recall_paired_n,f1_delta_mean,f1_delta_lo95,f1_delta_hi95,f1_delta_halfwidth95,f1_paired_n,exact_recovery_delta_mean,exact_recovery_delta_lo95,exact_recovery_delta_hi95,exact_recovery_delta_halfwidth95,exact_recovery_paired_n,fp_delta_mean,fp_delta_lo95,fp_delta_hi95,fp_delta_halfwidth95,fp_paired_n,fn_delta_mean,fn_delta_lo95,fn_delta_hi95,fn_delta_halfwidth95,fn_paired_n,trace_ci_tests_delta_mean,trace_ci_tests_delta_lo95,trace_ci_tests_delta_hi95,trace_ci_tests_delta_halfwidth95,trace_ci_tests_paired_n,trace_ci_n_eff_min_delta_mean,trace_ci_n_eff_min_delta_lo95,trace_ci_n_eff_min_delta_hi95,trace_ci_n_eff_min_delta_halfwidth95,trace_ci_n_eff_min_paired_n,trace_ci_n_eff_median_delta_mean,trace_ci_n_eff_median_delta_lo95,trace_ci_n_eff_median_delta_hi95,trace_ci_n_eff_median_delta_halfwidth95,trace_ci_n_eff_median_paired_n,trace_ci_effective_fraction_mean_delta_mean,trace_ci_effective_fraction_mean_delta_lo95,trace_ci_effective_fraction_mean_delta_hi95,trace_ci_effective_fraction_mean_delta_halfwidth95,trace_ci_effective_fraction_mean_paired_n,runtime_seconds_delta_mean,runtime_seconds_delta_lo95,runtime_seconds_delta_hi95,runtime_seconds_delta_halfwidth95,runtime_seconds_paired_n,gamma
global_whole_skeleton,er_expected_degree_2,20,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,0.014379967297923946,-0.0022972124890342574,0.03105714708488215,0.016677179786958204,20,0.0,0.0,0.0,0.0,20,0.007673305513485223,-0.0012356495081497724,0.01658226053512022,0.008908955021634996,20,0.05,-0.13441380522859875,0.23441380522859873,0.18441380522859874,20,-0.3,-0.6429118609396831,0.04291186093968319,0.3429118609396832,20,0.0,0.0,0.0,0.0,20,-2.0,-15.610163197171836,11.610163197171836,13.610163197171836,20,-204.0,-204.0,-204.0,0.0,20,-204.0,-204.0,-204.0,0.0,20,0.0,0.0,0.0,0.0,20,0.4255718961499156,0.06047039247808739,0.7906733998217438,0.3651015036718282,20,
global_whole_skeleton,er_expected_degree_2,20,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,-0.00529761904761904,-0.01637766006911875,0.005782421973880671,0.01108004102149971,20,-0.013319078947368418,-0.027924908971381203,0.0012867510766443688,0.014605830024012787,20,-0.009428780370435864,-0.018296665336387193,-0.0005608954044845366,0.008867884965951327,20,-0.15,-0.32145593046984156,0.021455930469841594,0.1714559304698416,20,0.1,-0.10930240544083084,0.3093024054408309,0.20930240544083084,20,0.3,-0.04291186093968319,0.6429118609396831,0.3429118609396832,20,-25.1,-44.06159173687872,-6.138408263121285,18.961591736878717,20,-34.85,-41.77394142261518,-27.926058577384826,6.923941422615177,20,-71.875,-74.87739924347692,-68.87260075652308,3.0023992434769187,20,0.003174177886642748,0.0011323437108320348,0.005216012062453462,0.0020418341758107134,20,-0.4349736986499579,-0.7760073308828606,-0.09394006641705521,0.3410336322329027,20,
global_whole_skeleton,er_expected_degree_2,20,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,-0.005575396825396828,-0.02406254693565568,0.012911753284862024,0.01848715011025885,20,-0.02268594782410572,-0.03895881207505766,-0.006413083573153781,0.016272864250951938,20,-0.015449764118194976,-0.029742122969130695,-0.0011574052672592566,0.01429235885093572,20,-0.15,-0.32145593046984156,0.021455930469841594,0.1714559304698416,20,0.1,-0.23612085461557455,0.4361208546155746,0.33612085461557456,20,0.45,0.12878638954260085,0.7712136104573992,0.32121361045739916,20,-31.5,-52.339990855085354,-10.660009144914646,20.839990855085354,20,-35.95,-42.098225932325896,-29.80177406767411,6.148225932325892,20,-68.375,-73.26939100663351,-63.48060899336649,4.894391006633511,20,0.003173020063434209,0.0011797218720694673,0.005166318254798951,0.001993298191364742,20,-0.08123283200022793,-0.30395092967385284,0.14148526567339698,0.2227180976736249,20,
global_whole_skeleton,er_expected_degree_2,50,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.8082272606499714,-0.25175079009131807,3.868205311391261,2.0599780507412895,20,
global_whole_skeleton,er_expected_degree_2,50,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.329653365199999,-0.08280391757806216,2.7421106479780604,1.4124572827780613,20,
global_whole_skeleton,er_expected_degree_2,50,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.47116622160017396,-0.7757632457958081,1.718095688996156,1.246929467395982,20,
global_whole_skeleton,er_expected_degree_2,75,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,0.0024451057630206384,-0.010143717862994575,0.015033929389035854,0.012588823626015214,20,-0.001399217221135024,-0.0034153075168161327,0.0006168730745460848,0.002016090295681109,20,0.0005698139292316274,-0.006323281830604736,0.00746290968906799,0.006893095759836363,20,0.05,-0.05465120272041542,0.15465120272041544,0.10465120272041542,20,-0.2,-1.269395266247181,0.8693952662471811,1.069395266247181,20,0.1,-0.04405179483524621,0.24405179483524622,0.14405179483524622,20,-4.5,-47.237388952599304,38.237388952599304,42.737388952599304,20,401.0,401.0,401.0,0.0,20,401.0,401.0,401.0,0.0,20,0.0,0.0,0.0,0.0,20,-1.2546095862501725,-3.1872453980406004,0.6780262255402554,1.9326358117904279,20,
global_whole_skeleton,er_expected_degree_2,75,self_masking_gaussian_preserving,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,-0.0005527680219422181,-0.004434747892649558,0.003329211848765121,0.0038819798707073394,20,0.001272407170294504,-0.0005721220787251716,0.0031169364193141796,0.0018445292490196755,20,0.00038740081891335264,-0.0017641070315415782,0.0025389086693682833,0.002151507850454931,20,0.05,-0.05465120272041542,0.15465120272041544,0.10465120272041542,20,0.05,-0.23305760229150485,0.33305760229150483,0.28305760229150484,20,-0.1,-0.24405179483524622,0.04405179483524621,0.14405179483524622,20,74.9,37.592130126704916,112.2078698732951,37.30786987329509,20,65.85,62.68204297748971,69.01795702251027,3.1679570225102833,20,179.05,130.9533980478555,227.14660195214452,48.09660195214451,20,-0.0010672687478066544,-0.0016478578801713412,-0.00048667961544196774,0.0005805891323646867,20,0.5788239225499867,-2.175567377673368,3.333215222773341,2.7543913002233547,20,
global_whole_skeleton,er_expected_degree_2,75,self_masking_logistic_population,0.3,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,-0.0008601555730954724,-0.005216272043245812,0.0034959608970548672,0.00435611647015034,20,0.00012313375404031656,-0.0017782405475097955,0.0020245080555904285,0.001901374301550112,20,-0.00032165471259488766,-0.0025411642287843676,0.0018978548035945922,0.0022195095161894798,20,-0.05,-0.15465120272041544,0.05465120272041542,0.10465120272041542,20,0.05,-0.27121361045739917,0.37121361045739915,0.32121361045739916,20,0.0,-0.15184392423821927,0.15184392423821927,0.15184392423821927,20,60.9,6.756216651437725,115.04378334856227,54.14378334856227,20,61.8,58.25321714927588,65.34678285072411,3.546782850724114,20,158.65,144.92489244745119,172.37510755254883,13.72510755254881,20,-0.000621220517156762,-0.0015544377167029224,0.0003119966823893983,0.0009332171995461603,20,1.5325718275000562,-0.5853598501425277,3.65050350514264,2.117931677642584,20,
global_whole_skeleton,er_expected_degree_2,100,complete,0.0,n_inverse_half,gamma_1.25_minus_1.0,1.0,1.25,20,0.0014630407125099942,-0.009050029938371075,0.011976111363391063,0.010513070650881069,20,0.0005263157894736803,-0.0005752758181096322,0.0016279073970569928,0.0011015916075833125,20,0.0010101903193930005,-0.004637597195202998,0.006657977833989,0.005647787514595999,20,0.0,0.0,0.0,0.0,20,-0.15,-1.2890824768807099,0.9890824768807099,1.13908247688071,20,-0.05,-0.15465120272041544,0.05465120272041542,0.10465120272041542,20,48.35,-46.041766752172045,142.74176675217205,94.39176675217205,20,947.0,947.0,947.0,0.0,20,947.0,947.0,947.0,0.0,20,0.0,0.0,0.0,0.0,20,2.765648608500259,-5.8394871275002185,11.370784344500736,8.605135736000477,20,
